edHello.agents.Patient@99fa758 | total wait time: 35 | dealt at time point: 35.0
simcore.agents.Patient@4c7567b6 | total wait time: 7 | dealt at time point: 1895.0
simcore.agents.Patient@d9c064e | total wait time: 41 | dealt at time point: 1898.0
simcore.agents.Patient@540c8bd7 | total wait time: 204 | dealt at time point: 1933.0
simcore.agents.Patient@193f18e8 | total wait time: 9 | dealt at time point: 1946.0
simcore.agents.Patient@575bdcff | total wait time: 1229 | dealt at time point: 1950.0
simcore.agents.Patient@74b00688 | total wait time: 305 | dealt at time point: 1985.0
simcore.agents.Patient@283c34b0 | total wait time: 92 | dealt at time point: 1997.0
simcore.agents.Patient@547718c8 | total wait time: 1952 | dealt at time point: 2000.0
simcore.agents.Patient@4b6c60b5 | total wait time: 2 | dealt at time point: 2035.0
simcore.agents.Patient@7d6a79eb | total wait time: 751 | dealt at time point: 2048.0
simcore.agents.Patient@28197ef9 | total wait time: 82 | dealt at time point: 2051.0
simcore.agents.Patient@3f722c56 | total wait time: 22 | dealt at time point: 2087.0
simcore.agents.Patient@5b2123c5 | total wait time: 20 | dealt at time point: 2100.0
simcore.agents.Patient@ad26c3f | total wait time: 147 | dealt at time point: 2100.0
simcore.agents.Patient@5df61ed0 | total wait time: 9 | dealt at time point: 2138.0
simcore.agents.Patient@4167d868 | total wait time: 39 | dealt at time point: 2151.0
simcore.agents.Patient@60d00d44 | total wait time: 7 | dealt at time point: 2151.0
simcore.agents.Patient@293dad7a | total wait time: 26 | dealt at time point: 2187.0
simcore.agents.Patient@7b414158 | total wait time: 24 | dealt at time point: 2201.0
simcore.agents.Patient@6bc05293 | total wait time: 153 | dealt at time point: 2202.0
simcore.agents.Patient@a04cb18 | total wait time: 30 | dealt at time point: 2239.0
simcore.agents.Patient@3eae7b72 | total wait time: 13 | dealt at time point: 2253.0
simcore.agents.Patient@74f48f54 | total wait time: 237 | dealt at time point: 2253.0
simcore.agents.Patient@7dfbb8a6 | total wait time: 32 | dealt at time point: 2289.0
simcore.agents.Patient@51408975 | total wait time: 31 | dealt at time point: 2304.0
simcore.agents.Patient@179b9a7d | total wait time: 15 | dealt at time point: 2304.0
simcore.agents.Patient@b3edd53 | total wait time: 20 | dealt at time point: 2340.0
simcore.agents.Patient@3adbab0b | total wait time: 17 | dealt at time point: 2353.0
simcore.agents.Patient@5651e013 | total wait time: 355 | dealt at time point: 2355.0
simcore.agents.Patient@506ad676 | total wait time: 24 | dealt at time point: 2392.0
simcore.agents.Patient@ccc5d12 | total wait time: 20 | dealt at time point: 2405.0
simcore.agents.Patient@209beafb | total wait time: 6 | dealt at time point: 2406.0
simcore.agents.Patient@49451111 | total wait time: 92 | dealt at time point: 2444.0
simcore.agents.Patient@173af36a | total wait time: 232 | dealt at time point: 2456.0
simcore.agents.Patient@4de68960 | total wait time: 536 | dealt at time point: 2457.0
simcore.agents.Patient@987d150 | total wait time: 14 | dealt at time point: 2495.0
simcore.agents.Patient@6a1435cf | total wait time: 10 | dealt at time point: 2507.0
simcore.agents.Patient@741889df | total wait time: 412 | dealt at time point: 2508.0
simcore.agents.Patient@32758e92 | total wait time: 33 | dealt at time point: 2545.0
simcore.agents.Patient@532628aa | total wait time: 29 | dealt at time point: 2558.0
simcore.agents.Patient@566387d | total wait time: 13 | dealt at time point: 2558.0
simcore.agents.Patient@124a43ed | total wait time: 36 | dealt at time point: 2596.0
simcore.agents.Patient@104b9f22 | total wait time: 32 | dealt at time point: 2609.0
simcore.agents.Patient@6c36b540 | total wait time: 17 | dealt at time point: 2609.0
simcore.agents.Patient@71575a0d | total wait time: 38 | dealt at time point: 2646.0
simcore.agents.Patient@40c97170 | total wait time: 3 | dealt at time point: 2659.0
simcore.agents.Patient@26ef63ac | total wait time: 466 | dealt at time point: 2659.0
simcore.agents.Patient@2974652e | total wait time: 9 | dealt at time point: 2697.0
simcore.agents.Patient@753ccc66 | total wait time: 5 | dealt at time point: 2709.0
simcore.agents.Patient@4bcf2e9 | total wait time: 36 | dealt at time point: 2709.0
simcore.agents.Patient@7f0a84ae | total wait time: 26 | dealt at time point: 2747.0
simcore.agents.Patient@49369bce | total wait time: 22 | dealt at time point: 2759.0
simcore.agents.Patient@7f867e31 | total wait time: 342 | dealt at time point: 2759.0
simcore.agents.Patient@2b450490 | total wait time: 14 | dealt at time point: 2798.0
simcore.agents.Patient@1b3de0e | total wait time: 41 | dealt at time point: 2809.0
simcore.agents.Patient@7c7b7b51 | total wait time: 9 | dealt at time point: 2809.0
simcore.agents.Patient@463cb2a4 | total wait time: 108 | dealt at time point: 125.0
simcore.agents.Patient@50bbd89d | total wait time: 133 | dealt at time point: 133.0
simcore.agents.Patient@6e124850 | total wait time: 105 | dealt at time point: 138.0
simcore.agents.Patient@281b876a | total wait time: 31 | dealt at time point: 176.0
simcore.agents.Patient@12ca520 | total wait time: 56 | dealt at time point: 184.0
simcore.agents.Patient@4d20bc1f | total wait time: 11 | dealt at time point: 188.0
simcore.agents.Patient@760a4e4d | total wait time: 33 | dealt at time point: 226.0
simcore.agents.Patient@2a387410 | total wait time: 73 | dealt at time point: 234.0
simcore.agents.Patient@3df45806 | total wait time: 158 | dealt at time point: 238.0
simcore.agents.Patient@3c1f23fe | total wait time: 179 | dealt at time point: 276.0
simcore.agents.Patient@2612c895 | total wait time: 29 | dealt at time point: 285.0
simcore.agents.Patient@11c899bf | total wait time: 63 | dealt at time point: 288.0
simcore.agents.Patient@27844934 | total wait time: 22 | dealt at time point: 326.0
simcore.agents.Patient@5908372c | total wait time: 95 | dealt at time point: 335.0
simcore.agents.Patient@5a5ad1ca | total wait time: 49 | dealt at time point: 338.0
simcore.agents.Patient@4af1c74d | total wait time: 24 | dealt at time point: 377.0
simcore.agents.Patient@3f8d9680 | total wait time: 66 | dealt at time point: 386.0
simcore.agents.Patient@285aa7a5 | total wait time: 51 | dealt at time point: 388.0
simcore.agents.Patient@15882542 | total wait time: 44 | dealt at time point: 429.0
simcore.agents.Patient@21cf705b | total wait time: 3 | dealt at time point: 435.0
simcore.agents.Patient@78e7303f | total wait time: 71 | dealt at time point: 439.0
simcore.agents.Patient@65eb8283 | total wait time: 17 | dealt at time point: 481.0
simcore.agents.Patient@58e5f854 | total wait time: 4 | dealt at time point: 485.0
simcore.agents.Patient@7d7a0743 | total wait time: 90 | dealt at time point: 490.0
simcore.agents.Patient@4f88a18c | total wait time: 4 | dealt at time point: 532.0
simcore.agents.Patient@11a83768 | total wait time: 25 | dealt at time point: 537.0
simcore.agents.Patient@4d9937ee | total wait time: 478 | dealt at time point: 542.0
simcore.agents.Patient@5c99b9a8 | total wait time: 37 | dealt at time point: 582.0
simcore.agents.Patient@1bc7feea | total wait time: 313 | dealt at time point: 586.0
simcore.agents.Patient@5a225c99 | total wait time: 176 | dealt at time point: 593.0
simcore.agents.Patient@4ca1f4e | total wait time: 24 | dealt at time point: 633.0
simcore.agents.Patient@4e22d7c7 | total wait time: 44 | dealt at time point: 637.0
simcore.agents.Patient@1f614ee2 | total wait time: 83 | dealt at time point: 644.0
simcore.agents.Patient@3b1e6f2c | total wait time: 43 | dealt at time point: 684.0
simcore.agents.Patient@f19b4de | total wait time: 15 | dealt at time point: 688.0
simcore.agents.Patient@5754a6f4 | total wait time: 8 | dealt at time point: 696.0
simcore.agents.Patient@55073fdd | total wait time: 31 | dealt at time point: 735.0
simcore.agents.Patient@3cb1cf46 | total wait time: 84 | dealt at time point: 740.0
simcore.agents.Patient@11cf4d04 | total wait time: 9 | dealt at time point: 746.0
simcore.agents.Patient@351d09ff | total wait time: 19 | dealt at time point: 787.0
simcore.agents.Patient@13c7cd72 | total wait time: 6 | dealt at time point: 790.0
simcore.agents.Patient@1e5844ae | total wait time: 173 | dealt at time point: 797.0
simcore.agents.Patient@460f2d26 | total wait time: 5 | dealt at time point: 837.0
simcore.agents.Patient@45f3a98e | total wait time: 263 | dealt at time point: 840.0
simcore.agents.Patient@2258e852 | total wait time: 127 | dealt at time point: 848.0
simcore.agents.Patient@37e6219e | total wait time: 7 | dealt at time point: 888.0
simcore.agents.Patient@dc30fbc | total wait time: 26 | dealt at time point: 890.0
simcore.agents.Patient@16ae6872 | total wait time: 81 | dealt at time point: 898.0
simcore.agents.Patient@1dff20bd | total wait time: 42 | dealt at time point: 938.0
simcore.agents.Patient@69f8d995 | total wait time: 27 | dealt at time point: 940.0
simcore.agents.Patient@3e31591c | total wait time: 20 | dealt at time point: 949.0
simcore.agents.Patient@7d645b75 | total wait time: 28 | dealt at time point: 989.0
simcore.agents.Patient@740ed978 | total wait time: 15 | dealt at time point: 991.0
simcore.agents.Patient@65d4cbe0 | total wait time: 6 | dealt at time point: 999.0
simcore.agents.Patient@25b8d570 | total wait time: 33 | dealt at time point: 1041.0
simcore.agents.Patient@790c7666 | total wait time: 97 | dealt at time point: 1042.0
simcore.agents.Patient@b9cfe8f | total wait time: 8 | dealt at time point: 1049.0
simcore.agents.Patient@21be10f | total wait time: 19 | dealt at time point: 1091.0
simcore.agents.Patient@36821f16 | total wait time: 3 | dealt at time point: 1092.0
simcore.agents.Patient@6757884e | total wait time: 988 | dealt at time point: 1101.0
simcore.agents.Patient@1d3562d6 | total wait time: 6 | dealt at time point: 1143.0
simcore.agents.Patient@14e026e4 | total wait time: 24 | dealt at time point: 1144.0
simcore.agents.Patient@3e776495 | total wait time: 49 | dealt at time point: 1153.0
simcore.agents.Patient@286f6d3 | total wait time: 26 | dealt at time point: 1195.0
simcore.agents.Patient@29492117 | total wait time: 43 | dealt at time point: 1196.0
simcore.agents.Patient@5140b9b0 | total wait time: 17 | dealt at time point: 1202.0
simcore.agents.Patient@3cc1ec0 | total wait time: 45 | dealt at time point: 1245.0
simcore.agents.Patient@61ebc9dc | total wait time: 29 | dealt at time point: 1246.0
simcore.agents.Patient@728dcb5a | total wait time: 19 | dealt at time point: 1252.0
simcore.agents.Patient@375fc68b | total wait time: 32 | dealt at time point: 1296.0
simcore.agents.Patient@23ea08ba | total wait time: 47 | dealt at time point: 1296.0
simcore.agents.Patient@31be5fb7 | total wait time: 21 | dealt at time point: 1302.0
simcore.agents.Patient@3271d6b7 | total wait time: 17 | dealt at time point: 1345.0
simcore.agents.Patient@19aea8e8 | total wait time: 50 | dealt at time point: 1346.0
simcore.agents.Patient@69704ea8 | total wait time: 40 | dealt at time point: 1352.0
simcore.agents.Patient@3103465d | total wait time: 35 | dealt at time point: 1396.0
simcore.agents.Patient@53056ea3 | total wait time: 4 | dealt at time point: 1396.0
simcore.agents.Patient@3324a517 | total wait time: 27 | dealt at time point: 1403.0
simcore.agents.Patient@65f7b8a9 | total wait time: 7 | dealt at time point: 1448.0
simcore.agents.Patient@796da4ac | total wait time: 40 | dealt at time point: 1448.0
simcore.agents.Patient@5199c31b | total wait time: 605 | dealt at time point: 1454.0
simcore.agents.Patient@2f918d4b | total wait time: 9 | dealt at time point: 1497.0
simcore.agents.Patient@4fe3f6ff | total wait time: 26 | dealt at time point: 1499.0
simcore.agents.Patient@33364a68 | total wait time: 480 | dealt at time point: 1504.0
simcore.agents.Patient@54f8719a | total wait time: 42 | dealt at time point: 1547.0
simcore.agents.Patient@1bd7f409 | total wait time: 29 | dealt at time point: 1550.0
simcore.agents.Patient@7db2452e | total wait time: 17 | dealt at time point: 1554.0
simcore.agents.Patient@556f64c | total wait time: 104 | dealt at time point: 105.0
simcore.agents.Patient@59f47e90 | total wait time: 99 | dealt at time point: 147.0
simcore.agents.Patient@322caf68 | total wait time: 44 | dealt at time point: 188.0
simcore.agents.Patient@6a2560fd | total wait time: 37 | dealt at time point: 230.0
simcore.agents.Patient@33191218 | total wait time: 208 | dealt at time point: 241.0
simcore.agents.Patient@3c6846c7 | total wait time: 32 | dealt at time point: 272.0
simcore.agents.Patient@9cb8871 | total wait time: 10 | dealt at time point: 283.0
simcore.agents.Patient@18f86593 | total wait time: 267 | dealt at time point: 283.0
simcore.agents.Patient@23f5b5af | total wait time: 10 | dealt at time point: 314.0
simcore.agents.Patient@7121a1d | total wait time: 5 | dealt at time point: 326.0
simcore.agents.Patient@36a2efcf | total wait time: 149 | dealt at time point: 326.0
simcore.agents.Patient@48601e1c | total wait time: 259 | dealt at time point: 356.0
simcore.agents.Patient@789d3cc1 | total wait time: 79 | dealt at time point: 368.0
simcore.agents.Patient@4cbdcda8 | total wait time: 16 | dealt at time point: 368.0
simcore.agents.Patient@fe4686e | total wait time: 172 | dealt at time point: 396.0
simcore.agents.Patient@7d1f9a21 | total wait time: 8 | dealt at time point: 408.0
simcore.agents.Patient@37ced30c | total wait time: 298 | dealt at time point: 410.0
simcore.agents.Patient@4b7b0d2 | total wait time: 21 | dealt at time point: 438.0
simcore.agents.Patient@208b123a | total wait time: 289 | dealt at time point: 450.0
simcore.agents.Patient@6d57ca5a | total wait time: 371 | dealt at time point: 452.0
simcore.agents.Patient@281507ac | total wait time: 17 | dealt at time point: 481.0
simcore.agents.Patient@7c63ef3e | total wait time: 11 | dealt at time point: 492.0
simcore.agents.Patient@441fe399 | total wait time: 365 | dealt at time point: 493.0
simcore.agents.Patient@5ad7b904 | total wait time: 27 | dealt at time point: 523.0
simcore.agents.Patient@280f3a43 | total wait time: 277 | dealt at time point: 534.0
simcore.agents.Patient@4ba7da45 | total wait time: 24 | dealt at time point: 536.0
simcore.agents.Patient@453fd44 | total wait time: 21 | dealt at time point: 565.0
simcore.agents.Patient@51d401ec | total wait time: 14 | dealt at time point: 575.0
simcore.agents.Patient@46983d9 | total wait time: 242 | dealt at time point: 579.0
simcore.agents.Patient@68ab9591 | total wait time: 13 | dealt at time point: 606.0
simcore.agents.Patient@453591e7 | total wait time: 41 | dealt at time point: 617.0
simcore.agents.Patient@6420882b | total wait time: 11 | dealt at time point: 620.0
simcore.agents.Patient@24f179a5 | total wait time: 24 | dealt at time point: 648.0
simcore.agents.Patient@6a587a79 | total wait time: 17 | dealt at time point: 657.0
simcore.agents.Patient@74a9de1c | total wait time: 277 | dealt at time point: 661.0
simcore.agents.Patient@670c9ca1 | total wait time: 16 | dealt at time point: 689.0
simcore.agents.Patient@1e171363 | total wait time: 11 | dealt at time point: 699.0
simcore.agents.Patient@6a5d6c48 | total wait time: 255 | dealt at time point: 703.0
simcore.agents.Patient@24966a37 | total wait time: 11 | dealt at time point: 731.0
simcore.agents.Patient@48f4eb8c | total wait time: 4 | dealt at time point: 741.0
simcore.agents.Patient@78f6c2 | total wait time: 41 | dealt at time point: 745.0
simcore.agents.Patient@8e5dd20 | total wait time: 21 | dealt at time point: 774.0
simcore.agents.Patient@64f7bddf | total wait time: 14 | dealt at time point: 783.0
simcore.agents.Patient@54d28969 | total wait time: 578 | dealt at time point: 786.0
simcore.agents.Patient@3ae3f1ac | total wait time: 31 | dealt at time point: 816.0
simcore.agents.Patient@5ef00d8f | total wait time: 24 | dealt at time point: 825.0
simcore.agents.Patient@36d2ba4f | total wait time: 11 | dealt at time point: 828.0
simcore.agents.Patient@574055ec | total wait time: 25 | dealt at time point: 857.0
simcore.agents.Patient@362d1238 | total wait time: 434 | dealt at time point: 867.0
simcore.agents.Patient@1674d25e | total wait time: 5 | dealt at time point: 870.0
simcore.agents.Patient@7375927d | total wait time: 19 | dealt at time point: 900.0
simcore.agents.Patient@728a8302 | total wait time: 11 | dealt at time point: 908.0
simcore.agents.Patient@5106d228 | total wait time: 848 | dealt at time point: 912.0
simcore.agents.Patient@7376d116 | total wait time: 11 | dealt at time point: 940.0
simcore.agents.Patient@54075894 | total wait time: 5 | dealt at time point: 949.0
simcore.agents.Patient@1088d60a | total wait time: 298 | dealt at time point: 954.0
simcore.agents.Patient@4a32ea76 | total wait time: 20 | dealt at time point: 981.0
simcore.agents.Patient@1f2ed868 | total wait time: 14 | dealt at time point: 990.0
simcore.agents.Patient@570342c | total wait time: 3 | dealt at time point: 996.0
simcore.agents.Patient@4b14a2c2 | total wait time: 14 | dealt at time point: 1023.0
simcore.agents.Patient@2b6aa16b | total wait time: 8 | dealt at time point: 1032.0
simcore.agents.Patient@137bde5d | total wait time: 507 | dealt at time point: 1036.0
simcore.agents.Patient@6521d7e3 | total wait time: 8 | dealt at time point: 1065.0
simcore.agents.Patient@162a7c6a | total wait time: 32 | dealt at time point: 1072.0
simcore.agents.Patient@2a539eea | total wait time: 165 | dealt at time point: 1077.0
simcore.agents.Patient@1510a62 | total wait time: 18 | dealt at time point: 1107.0
simcore.agents.Patient@4c741ded | total wait time: 8 | dealt at time point: 1113.0
simcore.agents.Patient@40feb817 | total wait time: 47 | dealt at time point: 1120.0
simcore.agents.Patient@2dca4fc5 | total wait time: 27 | dealt at time point: 1148.0
simcore.agents.Patient@53a133f6 | total wait time: 18 | dealt at time point: 1154.0
simcore.agents.Patient@3ef740 | total wait time: 7 | dealt at time point: 1160.0
simcore.agents.Patient@43258fd8 | total wait time: 6 | dealt at time point: 1190.0
simcore.agents.Patient@543780dd | total wait time: 26 | dealt at time point: 1195.0
simcore.agents.Patient@3b53bbd9 | total wait time: 833 | dealt at time point: 1202.0
simcore.agents.Patient@8455c37 | total wait time: 32 | dealt at time point: 1233.0
simcore.agents.Patient@77b888cc | total wait time: 5 | dealt at time point: 1237.0
simcore.agents.Patient@31d2531f | total wait time: 28 | dealt at time point: 1245.0
simcore.agents.Patient@3c5bad1e | total wait time: 12 | dealt at time point: 1276.0
simcore.agents.Patient@10028160 | total wait time: 31 | dealt at time point: 1279.0
simcore.agents.Patient@3d50b926 | total wait time: 6 | dealt at time point: 1286.0
simcore.agents.Patient@10e0e777 | total wait time: 19 | dealt at time point: 1316.0
simcore.agents.Patient@6b4be91a | total wait time: 473 | dealt at time point: 1321.0
simcore.agents.Patient@471740d2 | total wait time: 14 | dealt at time point: 1327.0
simcore.agents.Patient@20c62205 | total wait time: 30 | dealt at time point: 1358.0
simcore.agents.Patient@6371d118 | total wait time: 18 | dealt at time point: 1363.0
simcore.agents.Patient@3f6706a4 | total wait time: 9 | dealt at time point: 1369.0
simcore.agents.Patient@11a91463 | total wait time: 5 | dealt at time point: 1398.0
simcore.agents.Patient@2f9f0b9a | total wait time: 29 | dealt at time point: 1405.0
simcore.agents.Patient@30d3ce73 | total wait time: 3 | dealt at time point: 1412.0
simcore.agents.Patient@1bdd3ada | total wait time: 15 | dealt at time point: 1439.0
simcore.agents.Patient@f9639a4 | total wait time: 6 | dealt at time point: 1447.0
simcore.agents.Patient@3ea7ceef | total wait time: 2 | dealt at time point: 1459.0
simcore.agents.Patient@2684a702 | total wait time: 7 | dealt at time point: 1480.0
simcore.agents.Patient@25320e37 | total wait time: 4 | dealt at time point: 1493.0
simcore.agents.Patient@73486b0d | total wait time: 3 | dealt at time point: 1507.0
simcore.agents.Patient@4fc71a6f | total wait time: 2 | dealt at time point: 1523.0
simcore.agents.Patient@461dc103 | total wait time: 5 | dealt at time point: 1541.0
simcore.agents.Patient@5f052204 | total wait time: 3 | dealt at time point: 1555.0
simcore.agents.Patient@710bf887 | total wait time: 3 | dealt at time point: 1572.0
simcore.agents.Patient@68dedac6 | total wait time: 4 | dealt at time point: 1589.0
simcore.agents.Patient@37c4198d | total wait time: 4 | dealt at time point: 1604.0
simcore.agents.Patient@32b35099 | total wait time: 4 | dealt at time point: 1621.0
simcore.agents.Patient@4fb52c2d | total wait time: 4 | dealt at time point: 1636.0
simcore.agents.Patient@4d239469 | total wait time: 2 | dealt at time point: 1651.0
simcore.agents.Patient@4dc73d5b | total wait time: 3 | dealt at time point: 1667.0
simcore.agents.Patient@118b3f9c | total wait time: 3 | dealt at time point: 1683.0
simcore.agents.Patient@18464727 | total wait time: 3 | dealt at time point: 1700.0
simcore.agents.Patient@5b6099cf | total wait time: 4 | dealt at time point: 1717.0
simcore.agents.Patient@2882b6aa | total wait time: 3 | dealt at time point: 1731.0
simcore.agents.Patient@5246de56 | total wait time: 3 | dealt at time point: 1747.0
simcore.agents.Patient@22eb3af2 | total wait time: 2 | dealt at time point: 1763.0
simcore.agents.Patient@1b21bf75 | total wait time: 3 | dealt at time point: 1779.0
simcore.agents.Patient@b531f6b | total wait time: 5 | dealt at time point: 1797.0
simcore.agents.Patient@2e10f577 | total wait time: 4 | dealt at time point: 1812.0
simcore.agents.Patient@1cf85bde | total wait time: 5 | dealt at time point: 1829.0
simcore.agents.Patient@7aa7728 | total wait time: 3 | dealt at time point: 1844.0
simcore.agents.Patient@4096142 | total wait time: 3 | dealt at time point: 1860.0
simcore.agents.Patient@499252 | total wait time: 3 | dealt at time point: 1876.0
simcore.agents.Patient@792af4f3 | total wait time: 4 | dealt at time point: 1892.0
simcore.agents.Patient@10f015f9 | total wait time: 3 | dealt at time point: 1908.0
simcore.agents.Patient@7ffb0700 | total wait time: 4 | dealt at time point: 1924.0
simcore.agents.Patient@3f82ca8 | total wait time: 4 | dealt at time point: 1940.0
simcore.agents.Patient@762e6825 | total wait time: 3 | dealt at time point: 1955.0
simcore.agents.Patient@2521833b | total wait time: 4 | dealt at time point: 1973.0
simcore.agents.Patient@54fc2558 | total wait time: 3 | dealt at time point: 1988.0
simcore.agents.Patient@3475bac7 | total wait time: 3 | dealt at time point: 2004.0
simcore.agents.Patient@37fd168c | total wait time: 4 | dealt at time point: 2021.0
simcore.agents.Patient@42aaa552 | total wait time: 3 | dealt at time point: 2035.0
simcore.agents.Patient@5dc827c5 | total wait time: 3 | dealt at time point: 2052.0
simcore.agents.Patient@571edd88 | total wait time: 3 | dealt at time point: 2067.0
simcore.agents.Patient@6798367 | total wait time: 4 | dealt at time point: 2084.0
simcore.agents.Patient@68030706 | total wait time: 4 | dealt at time point: 2100.0
simcore.agents.Patient@5909fff | total wait time: 2 | dealt at time point: 2115.0
simcore.agents.Patient@7705423f | total wait time: 3 | dealt at time point: 2132.0
simcore.agents.Patient@6f961c44 | total wait time: 3 | dealt at time point: 2148.0
simcore.agents.Patient@7860905e | total wait time: 4 | dealt at time point: 2164.0
simcore.agents.Patient@1c590828 | total wait time: 4 | dealt at time point: 2181.0
simcore.agents.Patient@5c001a6a | total wait time: 4 | dealt at time point: 2196.0
simcore.agents.Patient@7fb2d5b1 | total wait time: 4 | dealt at time point: 2212.0
simcore.agents.Patient@711b1c4 | total wait time: 4 | dealt at time point: 2228.0
simcore.agents.Patient@3be62ded | total wait time: 3 | dealt at time point: 2243.0
simcore.agents.Patient@7d886957 | total wait time: 5 | dealt at time point: 2261.0
simcore.agents.Patient@23b26ebc | total wait time: 3 | dealt at time point: 2275.0
simcore.agents.Patient@185002d | total wait time: 4 | dealt at time point: 2293.0
simcore.agents.Patient@53b01962 | total wait time: 3 | dealt at time point: 2308.0
simcore.agents.Patient@76927f9d | total wait time: 4 | dealt at time point: 2324.0
simcore.agents.Patient@22ec6a70 | total wait time: 3 | dealt at time point: 2339.0
simcore.agents.Patient@276d794c | total wait time: 4 | dealt at time point: 2356.0
simcore.agents.Patient@7563cffa | total wait time: 3 | dealt at time point: 2371.0
simcore.agents.Patient@99e6e4 | total wait time: 5 | dealt at time point: 2389.0
simcore.agents.Patient@4bfe5693 | total wait time: 4 | dealt at time point: 2404.0
simcore.agents.Patient@4bbd52a5 | total wait time: 3 | dealt at time point: 2419.0
simcore.agents.Patient@73f26f59 | total wait time: 5 | dealt at time point: 2437.0
simcore.agents.Patient@277c250b | total wait time: 3 | dealt at time point: 2451.0
simcore.agents.Patient@453b4c08 | total wait time: 5 | dealt at time point: 2469.0
simcore.agents.Patient@7b2b5e94 | total wait time: 3 | dealt at time point: 2483.0
simcore.agents.Patient@35346878 | total wait time: 3 | dealt at time point: 2499.0
simcore.agents.Patient@4d0c913c | total wait time: 3 | dealt at time point: 2516.0
simcore.agents.Patient@24fb6785 | total wait time: 4 | dealt at time point: 2533.0
simcore.agents.Patient@128a31cd | total wait time: 3 | dealt at time point: 2547.0
simcore.agents.Patient@2917a445 | total wait time: 4 | dealt at time point: 2564.0
simcore.agents.Patient@10e73a8c | total wait time: 4 | dealt at time point: 2580.0
simcore.agents.Patient@7a321e97 | total wait time: 3 | dealt at time point: 2595.0
simcore.agents.Patient@c52e256 | total wait time: 3 | dealt at time point: 2612.0
simcore.agents.Patient@2a16075d | total wait time: 3 | dealt at time point: 2628.0
simcore.agents.Patient@3122bd4a | total wait time: 3 | dealt at time point: 2644.0
simcore.agents.Patient@3bf2963d | total wait time: 3 | dealt at time point: 2660.0
simcore.agents.Patient@3f6ddfbc | total wait time: 3 | dealt at time point: 2676.0
simcore.agents.Patient@121d7f48 | total wait time: 3 | dealt at time point: 2692.0
simcore.agents.Patient@691a4293 | total wait time: 5 | dealt at time point: 2709.0
simcore.agents.Patient@5f13092b | total wait time: 4 | dealt at time point: 2725.0
simcore.agents.Patient@55280fd8 | total wait time: 5 | dealt at time point: 2741.0
simcore.agents.Patient@5c295357 | total wait time: 4 | dealt at time point: 2756.0
simcore.agents.Patient@424caf4d | total wait time: 5 | dealt at time point: 2773.0
simcore.agents.Patient@7658cf2 | total wait time: 3 | dealt at time point: 2788.0
simcore.agents.Patient@1ac328e0 | total wait time: 3 | dealt at time point: 2804.0
simcore.agents.Patient@566762ba | total wait time: 2 | dealt at time point: 2819.0
simcore.agents.Patient@147e00bd | total wait time: 3 | dealt at time point: 2836.0
simcore.agents.Patient@7c202e69 | total wait time: 4 | dealt at time point: 2853.0
simcore.agents.Patient@29dad3c7 | total wait time: 3 | dealt at time point: 2868.0
simcore.agents.Patient@1b81a1b4 | total wait time: 5 | dealt at time point: 2885.0
simcore.agents.Patient@1d432886 | total wait time: 4 | dealt at time point: 2900.0
simcore.agents.Patient@37a3a2f6 | total wait time: 3 | dealt at time point: 2916.0
simcore.agents.Patient@7a95d53 | total wait time: 4 | dealt at time point: 2932.0
simcore.agents.Patient@430f98e1 | total wait time: 3 | dealt at time point: 2948.0
simcore.agents.Patient@3668a91a | total wait time: 4 | dealt at time point: 2964.0
simcore.agents.Patient@26bc7bfd | total wait time: 4 | dealt at time point: 2981.0
simcore.agents.Patient@667ef5fb | total wait time: 3 | dealt at time point: 2996.0
simcore.agents.Patient@5f747012 | total wait time: 4 | dealt at time point: 3012.0
simcore.agents.Patient@341c9b8c | total wait time: 3 | dealt at time point: 3028.0
simcore.agents.Patient@63675a66 | total wait time: 4 | dealt at time point: 3045.0
simcore.agents.Patient@1a9aa6b3 | total wait time: 3 | dealt at time point: 3059.0
simcore.agents.Patient@57302219 | total wait time: 5 | dealt at time point: 3077.0
simcore.agents.Patient@7d4a735e | total wait time: 4 | dealt at time point: 3093.0
simcore.agents.Patient@7af0fb58 | total wait time: 4 | dealt at time point: 3108.0
simcore.agents.Patient@29b782f4 | total wait time: 4 | dealt at time point: 3125.0
simcore.agents.Patient@4ef5701e | total wait time: 3 | dealt at time point: 3140.0
simcore.agents.Patient@62d4ee18 | total wait time: 4 | dealt at time point: 3157.0
simcore.agents.Patient@7cf7b85 | total wait time: 3 | dealt at time point: 3172.0
simcore.agents.Patient@3f899ae3 | total wait time: 4 | dealt at time point: 3189.0
simcore.agents.Patient@66c223e6 | total wait time: 5 | dealt at time point: 3205.0
simcore.agents.Patient@4f1c4679 | total wait time: 4 | dealt at time point: 3221.0
simcore.agents.Patient@42d00c05 | total wait time: 2 | dealt at time point: 3235.0
simcore.agents.Patient@1924a340 | total wait time: 4 | dealt at time point: 3253.0
simcore.agents.Patient@339734f1 | total wait time: 4 | dealt at time point: 3269.0
simcore.agents.Patient@2cf5d769 | total wait time: 2 | dealt at time point: 3283.0
simcore.agents.Patient@7c3dd03f | total wait time: 4 | dealt at time point: 3300.0
simcore.agents.Patient@5b3bda32 | total wait time: 3 | dealt at time point: 3316.0
simcore.agents.Patient@69faa60a | total wait time: 4 | dealt at time point: 3332.0
simcore.agents.Patient@c705368 | total wait time: 4 | dealt at time point: 3348.0
